2024-12-19 12:02:10,698 - Generation 1 - Car 9: Speed: 22, Angle: 30, Distance: 102, Alive: True
2024-12-19 12:02:10,698 - Generation 1 - Car 11: Speed: 20, Angle: 70, Distance: 100, Alive: True
2024-12-19 12:02:10,699 - Generation 1 - Car 12: Speed: 28, Angle: 30, Distance: 120, Alive: True
2024-12-19 12:02:10,699 - Generation 1 - Car 13: Speed: 14, Angle: 30, Distance: 88, Alive: True
2024-12-19 12:02:10,699 - Generation 1 - Car 14: Speed: 20, Angle: 10, Distance: 100, Alive: True
2024-12-19 12:02:10,699 - Generation 1 - Car 15: Speed: 26, Angle: 50, Distance: 116, Alive: True
2024-12-19 12:02:10,699 - Generation 1 - Car 16: Speed: 26, Angle: 40, Distance: 118, Alive: True
2024-12-19 12:02:10,700 - Generation 1 - Car 17: Speed: 18, Angle: 70, Distance: 94, Alive: True
2024-12-19 12:02:10,700 - Generation 1 - Car 18: Speed: 20, Angle: 70, Distance: 100, Alive: True
2024-12-19 12:02:10,700 - Generation 1 - Car 19: Speed: 14, Angle: 30, Distance: 88, Alive: True
2024-12-19 12:02:10,700 - Generation 1 - Car 20: Speed: 20, Angle: 90, Distance: 100, Alive: True
2024-12-19 12:02:10,700 - Generation 1 - Car 21: Speed: 18, Angle: 70, Distance: 94, Alive: True
2024-12-19 12:02:10,701 - Generation 1 - Car 22: Speed: 26, Angle: 30, Distance: 118, Alive: True
2024-12-19 12:02:10,701 - Generation 1 - Car 23: Speed: 16, Angle: 70, Distance: 90, Alive: True
2024-12-19 12:02:10,701 - Generation 1 - Car 24: Speed: 14, Angle: 30, Distance: 88, Alive: True
2024-12-19 12:02:10,701 - Generation 1 - Car 25: Speed: 12, Angle: 40, Distance: 80, Alive: True
2024-12-19 12:02:10,701 - Generation 1 - Car 26: Speed: 20, Angle: 10, Distance: 100, Alive: True
2024-12-19 12:02:10,701 - Generation 1 - Car 27: Speed: 12, Angle: 40, Distance: 80, Alive: True
2024-12-19 12:02:10,702 - Generation 1 - Car 28: Speed: 16, Angle: 40, Distance: 84, Alive: True
2024-12-19 12:02:10,702 - Generation 1 - Car 30: Speed: 28, Angle: 30, Distance: 120, Alive: True
2024-12-19 12:02:10,702 - Generation 1 - Car 31: Speed: 20, Angle: 80, Distance: 100, Alive: True
2024-12-19 12:02:10,702 - Generation 1 - Car 32: Speed: 20, Angle: 80, Distance: 100, Alive: True
2024-12-19 12:02:10,702 - Generation 1 - Car 33: Speed: 16, Angle: 40, Distance: 84, Alive: True
2024-12-19 12:02:10,703 - Generation 1 - Car 34: Speed: 28, Angle: 40, Distance: 120, Alive: True
2024-12-19 12:02:10,703 - Generation 1 - Car 35: Speed: 20, Angle: 10, Distance: 100, Alive: True
2024-12-19 12:02:10,703 - Generation 1 - Car 36: Speed: 24, Angle: 20, Distance: 110, Alive: True
